ID,LENGTH
TX2-INV4-STR10,-184
TX2-INV9-STR1,-184
TX2-INV9-STR18,-184
TX2-INV10-STR3,-184
TX2-INV12-STR2,-184
TX2-INV12-STR19,-184
TX2-INV13-STR1,-184
TX2-INV13-STR20,-184
TX2-INV14-STR1,-184
TX2-INV19-STR1,184
TX2-INV20-STR6,184
TX2-INV21-STR11,184
TX2-INV22-STR4,184
TX2-INV23-STR7,184
TX3-INV10-STR29,-184
TX3-INV13-STR27,-184
TX3-INV15-STR28,-184
TX3-INV16-STR14,184
TX3-INV20-STR29,-184
TX3-INV21-STR13,-184
TX3-INV22-STR11,-184
TX3-INV23-STR9,-184
TX6-INV4-STR11,184
TX6-INV14-STR6,-184
TX1-INV2-STR18,-183
TX1-INV5-STR4,-183
TX1-INV5-STR24,-183
TX1-INV6-STR5,-183
TX1-INV14-STR8,-183
TX1-INV15-STR1,-183
TX1-INV15-STR16,-183
TX1-INV16-STR21,-183
TX1-INV19-STR28,-183
TX1-INV20-STR28,-183
TX1-INV21-STR28,-183
TX1-INV23-STR6,-183
TX1-INV23-STR28,-183
TX1-INV23-STR29,183
TX1-INV24-STR10,-183
TX1-INV24-STR29,183
TX1-INV25-STR14,-183
TX2-INV3-STR29,-183
TX2-INV4-STR8,183
TX2-INV6-STR3,-183
TX2-INV10-STR2,-183
TX2-INV11-STR16,-183
TX2-INV19-STR23,-183
TX2-INV20-STR4,-183
TX2-INV20-STR27,-183
TX2-INV21-STR9,-183
TX2-INV22-STR2,-183
TX2-INV22-STR24,-183
TX2-INV23-STR5,-183
TX2-INV23-STR27,-183
TX2-INV24-STR8,-183
TX2-INV24-STR28,-183
TX3-INV8-STR13,-183
TX3-INV8-STR29,-183
TX3-INV9-STR14,-183
TX3-INV9-STR29,-183
TX3-INV11-STR29,-183
TX3-INV12-STR29,-183
TX3-INV14-STR27,-183
TX3-INV17-STR30,-183
TX3-INV20-STR15,-183
TX4-INV27-STR12,-183
TX4-INV27-STR29,-183
TX5-INV12-STR29,-183
TX6-INV2-STR28,-183
TX6-INV3-STR15,-183
TX6-INV4-STR9,-183
TX1-INV3-STR21,182
TX1-INV3-STR23,-182
TX1-INV20-STR13,-182
TX1-INV21-STR14,-182
TX1-INV23-STR7,182
TX1-INV24-STR11,182
TX2-INV3-STR27,182
TX2-INV17-STR9,-182
TX3-INV10-STR28,-182
TX3-INV11-STR15,-182
TX3-INV12-STR16,-182
TX3-INV16-STR12,-182
TX3-INV24-STR29,-182
TX4-INV26-STR29,-182
TX5-INV12-STR22,-182
TX6-INV4-STR10,182
TX6-INV8-STR9,-182
TX1-INV16-STR1,-181
TX1-INV16-STR20,-181
TX1-INV23-STR5,-181
TX1-INV23-STR27,-181
TX1-INV24-STR9,-181
